well_id,sord_id,Fluid,Well Type,Lateral Length m,Proppant tons,Fluid Pumped m3,Frac Stages,"Frac Spacing, m",Proppant tons / 100 m,Fluid Pumped m3 / 100 m,Gas Cum 90 days,Gas Cum 180 days,Gas Cum 365 days,Gas Cum 365 / 100 m
02/16-20-077-15W6/0,1W60771520160200,Gas,Horizontal,2785.5,1995,8825.2,12,232.125,71.6208939149,316.8264225453,571673.214375,1157733.12884097,2370632.15377778,85106.1624045155
00/05-28-079-17W6/0,1W60791728050000,Gas,Horizontal,1855.3,1365,6175.36,8,231.9125,73.5730070609,332.8496739072,439191.090714286,907314.966206897,1682643.07597015,90693.8541459683
00/01-16-079-14W6/0,1W60791416010000,Gas,Horizontal,1391,685.1,1247.2,6,231.8333333333,49.2523364486,89.6621135873,492548.407112376,940206.041454546,1647623.09166667,118448.820393003
00/D-033-G/093-P-09/0,2093P09G033D0000,Gas,Horizontal,2316.5,1680,7297.6,10,231.65,72.5232031081,315.0269803583,387856.423413978,786901.298709677,1372927.75576389,59267.3324309903
00/09-15-079-18W6/0,1W60791815090000,Gas,Horizontal,1850,604,4157.4,8,231.25,32.6486486486,224.7243243243,305728.768611111,504657.155761773,803050.021888112,43408.1092912493
00/09-04-078-15W6/0,1W60781504090000,Gas,Horizontal,3234.5,2465.5,10221.9,14,231.0357142857,76.2250734271,316.027206678,584581.974962406,1225821.85592593,2677317.11733719,82773.7553667395
00/12-35-080-21W6/0,1W60802135120000,Gas,Horizontal,1615,1168.7,5018.67,7,230.7142857143,72.3653250774,310.7535603715,235417.559673406,404260.622027972,660516.023571429,40898.824988943
00/04-03-077-14W6/0,1W60771403040000,Gas,Horizontal,1841.5,818.53,949.1,8,230.1875,44.4490904154,51.5395058376,197327.048137931,341698.145953992,567620.842032641,30823.8306832822
02/02-31-080-18W6/0,1W60801831020200,Gas,Horizontal,1841.3,1146.4,5326,8,230.1625,62.2603595286,289.2521588008,369255.4725,652448.063477089,1020456.102875,55420.415080378
00/01-23-080-16W6/0,1W60801623010000,Gas,Horizontal,1150.5,970,4160,5,230.1,84.3111690569,361.581920904,334094.252074074,548799.635108696,1131464.35361111,98345.4457723694
00/09-20-077-15W6/0,1W60771520090000,Gas,Horizontal,2295.5,1655,6398.3,10,229.55,72.0975822261,278.7323023306,530010.170710744,1057477.83011142,2004449.20658999,87320.8105680675
02/13-20-079-18W6/0,1W60791820130200,Gas,Horizontal,1376.5,612,829.54,6,229.4166666667,44.460588449,60.264438794,246913.322965035,472641.65718663,847669.014685792,61581.4758217067
02/03-24-079-17W6/0,1W60791724030200,Gas,Horizontal,1605.9,1190,6204.15,7,229.4142857143,74.1017497976,386.334765552,364202.611763869,645064.109,1091196.21938889,67949.2010329965
00/12-36-079-15W6/0,1W60791536120000,Gas,Horizontal,1145,605,1472.5,5,229,52.8384279476,128.6026200873,528803.065343512,1033456.09259475,1809844.68722222,158065.038185347
00/04-06-079-16W6/0,1W60791606040000,Gas,Horizontal,2975.9,2275,9584.4,13,228.9153846154,76.4474612722,322.0672737659,495831.316535211,846520.997303989,1364739.70241667,45859.7299108394
02/13-28-078-19W6/0,1W60781928130200,Gas,Horizontal,1831,924.365,8348.85,8,228.875,50.4841616603,455.9721463681,143543.816784703,275988.749193548,496598.858361111,27121.7290202682
00/07-27-077-17W6/0,1W60771727070000,Gas,Horizontal,1601.5,579,1027,7,228.7857142857,36.1536059944,64.1273805807,253056.369333333,386366.499348711,585423.824863388,36554.7190048947
00/13-25-079-17W6/0,1W60791725130000,Gas,Horizontal,2744.7,1995,7734.9,12,228.725,72.6855394032,281.8122199147,718728.116530612,1281949.79412634,2107451.79427562,76782.5916958363
03/03-15-079-17W6/0,1W60791715030300,Gas,Horizontal,2053.15,1470,5709.2,9,228.1277777778,71.5973017071,278.0702822492,575411.146008064,966754.967823613,1668925.70720833,81286.1070651599
00/01-04-078-15W6/0,1W60781504010000,Gas,Horizontal,2733.8,1917,10926.14,12,227.8166666667,70.1221742629,399.668593167,675238.468717557,1382228.42973244,2678790.06768276,97987.7850494828
02/06-09-080-20W6/0,1W60802009060200,Gas,Horizontal,2050.2,1302,8192.83,9,227.8,63.5059994147,399.6112574383,216597.943070175,345737.13375,543873.908666667,26527.8464865217
00/03-09-080-20W6/0,1W60802009030000,Gas,Horizontal,2050.15,1302,8230.97,9,227.7944444444,63.5075482282,401.4813550228,286789.709283668,470664.499375,748091.727586207,36489.6094230279
00/08-10-080-18W6/0,1W60801810080000,Gas,Horizontal,1594.5,1023,6856.79,7,227.7857142857,64.1580432738,430.0275948573,270853.962916667,440361.271034946,709235.368817204,44480.1109324054
02/01-15-080-18W6/0,1W60801815010200,Gas,Horizontal,2275.7,1389,7509.45,10,227.57,61.0361646966,329.9841806917,170596.000887324,282692.226045519,475475.712413793,20893.6025141184
00/07-31-080-18W6/0,1W60801831070000,Gas,Horizontal,1818.3,1146.8,5324.4,8,227.2875,63.0699004565,292.8229665072,356926.703644717,617687.311794521,1010852.40390646,55593.2686523929
02/07-02-078-16W6/0,1W60781602070200,Gas,Horizontal,2723.5,1855,10204.95,12,226.9583333333,68.1108867266,374.6998347714,544349.737918089,1118994.45434783,2083667.44647059,76506.9743517749
00/04-08-079-16W6/0,1W60791608040000,Gas,Horizontal,2038.9,1505,7263,9,226.5444444444,73.8143116386,356.221491981,318021.456339286,386322.237118644,701866.854713115,34423.799828982
00/B-039-H/093-P-09/0,2093P09H039B0000,Gas,Horizontal,678.9,302,832.3,3,226.3,44.4837236706,122.5953748711,344138.804949349,589784.288040936,995950.304339623,146700.589827607
02/12-17-079-18W6/0,1W60791817120200,Gas,Horizontal,2036.5,1272.4,6013.8,9,226.2777777778,62.47974466,295.3007611097,674842.453478261,1196084.51717452,1988257.51198276,97631.1078803221
00/01-28-077-15W6/0,1W60771528010000,Gas,Horizontal,2036.5,900,1528.22,9,226.2777777778,44.1934691873,75.0414927572,276249.039191781,480883.217388889,801965.904385692,39379.6172052881
00/16-26-079-17W6/0,1W60791726160000,Gas,Horizontal,2713.5,1995,7552.8,12,226.125,73.5212824765,278.3416252073,1249596.30416867,1849721.70934605,2969954.69419581,109451.066673883
00/13-26-080-18W6/0,1W60801826130000,Gas,Horizontal,2035.06,1334.3,5870.5,9,226.1177777778,65.5656344285,288.4681532731,352562.293887974,591045.602473118,957438.002489851,47047.1633509504
00/15-36-079-15W6/0,1W60791536150000,Gas,Horizontal,1806,931.4,1183.9,8,225.75,51.5725359911,65.553709856,379090.22234965,758757.568807339,1778048.90056452,98452.3200755548
00/03-08-080-19W6/0,1W60801908030000,Gas,Horizontal,1805.5,816,567.02,8,225.6875,45.1952367765,31.4051509277,421411.275577465,704265.177228412,1139813.63413842,63130.0822009648
00/02-23-079-17W6/0,1W60791723020000,Gas,Horizontal,2029.8,1575,10047.75,9,225.5333333333,77.593851611,495.011823825,567719.310178041,993322.293359747,1728185.95044568,85140.7010762479
00/07-02-078-16W6/0,1W60781602070000,Gas,Horizontal,2479.5,1750,8764.87,11,225.4090909091,70.5787457149,353.4934462593,552203.818496732,1065985.31235115,1839295.87034985,74180.1117301815
02/07-31-080-18W6/0,1W60801831070200,Gas,Horizontal,1801.7,1147.4,5238.3,8,225.2125,63.6842981628,290.7420769273,450122.077436282,819220.810725806,1351258.8889955,74999.1057887273
02/02-06-079-16W6/0,1W60791606020200,Gas,Horizontal,2702.5,1960,8034.2,12,225.2083333333,72.525439408,297.2876965772,404732.433703149,695010.181540578,1158243.64283582,42858.2291521118
00/12-25-079-17W6/0,1W60791725120000,Gas,Horizontal,2702.5,1958.75,7953.7,12,225.2083333333,72.4791859389,294.308973173,410948.679374111,1017638.92901592,2410990.27957938,89213.3313442879
00/06-20-081-20W6/0,1W60812020060000,Gas,Horizontal,2246.8,1245,9770.8,10,224.68,55.4121417127,434.8762684707,395869.109665552,676977.184770318,1183264.58825905,52664.4377897031
00/12-17-079-18W6/0,1W60791817120000,Gas,Horizontal,2021.8,1261.6,5893.6,9,224.6444444444,62.3998417252,291.5026214265,271922.298800539,434899.117586207,705060.41875,34872.9062592739
00/07-29-080-18W6/0,1W60801829070000,Gas,Horizontal,2471,1386.09,8693.3,11,224.6363636364,56.0942938082,351.8130311615,236323.836777778,412299.618691323,705220.296625,28539.8744081344
00/15-27-077-15W6/0,1W60771527150000,Gas,Horizontal,1790.9,1260,7429.56,8,223.8625,70.3556870847,414.8506337596,666606.334602026,1274350.19418133,2331134.41965616,130165.526810886
02/09-15-079-18W6/0,1W60791815090200,Gas,Horizontal,2236.9,1332,7175,10,223.69,59.5466940856,320.7564039519,302848.906016713,528941.458178634,892703.953342503,39908.0849989943
00/13-24-079-17W6/0,1W60791724130000,Gas,Horizontal,2235.5,1610,7399.53,10,223.55,72.0196823977,331.0011183181,517482.547660819,986967.453242507,1719164.04233333,76902.8871542532
00/14-35-080-21W6/0,1W60802135140000,Gas,Horizontal,1564.5,1157.35,5528.711,7,223.5,73.9757110898,353.3851709811,306377.73829303,505876.362237762,820494.963396226,52444.5486351055
02/11-13-077-15W6/0,1W60771513110200,Gas,Horizontal,2011.5,918,1327,9,223.5,45.6375838926,65.9706686552,214284.235890411,356167.124486111,601705.255111111,29913.2615019195
